Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
142866,1.377736,-0.00225,0.815316,-0.701767,0.765955,-0.761992,1.09066,2.210641,-0.122084,-2.192543,-0.548073,1.231875,0.553077,0.248914,1.008668,0.484453,1.217725,0.919424,1.5217,0.358796,0.905259,-0.307127,-0.601461,1.706768,0.216205,0.804881,0.12374,-0.586516,55.51,0
146304,-0.984995,-0.455528,-1.386442,-1.40997,-0.173838,-0.729577,0.377971,0.452538,0.32085,0.238601,1.577768,-1.067594,-0.054935,1.13269,1.26454,-1.421764,-0.312355,1.358121,0.508079,0.195263,-0.217685,-0.383801,0.288219,-0.252374,-0.042579,0.078599,-0.678072,0.532129,4321.54,0
97768,-1.808144,1.543493,0.256659,-1.714486,-0.713819,0.771874,-0.279677,-0.512061,1.400882,-1.047287,-0.798153,0.211386,0.390455,0.496343,0.911238,0.198579,0.489384,-0.259209,0.062698,0.107534,0.215098,0.77254,0.555146,0.044217,-0.809126,0.067671,-0.028018,0.193182,1494.86,0
93916,0.91593,-0.109145,-0.252881,0.562273,-1.291882,0.352627,1.912955,0.466178,-0.376212,-0.507105,-0.41034,-0.253963,-0.377807,0.916311,-1.733209,0.862,-0.379687,0.376948,-1.126988,1.328631,1.245635,0.959591,-1.514755,0.829121,0.404855,-1.605271,-0.024297,0.364534,125.73,0
121961,-1.485055,1.190414,-0.760509,-0.560754,-0.022248,-1.562884,0.22877,0.967466,0.292934,-1.588898,-0.123809,0.742029,-1.877989,-1.074766,0.876544,0.270095,0.411972,1.859495,0.468553,0.657888,2.710746,-0.213805,-0.797883,0.427796,0.438991,-0.526715,-1.032397,2.309844,89.15,0
117422,-0.411749,-0.363583,-1.149204,-1.90813,-0.11688,-0.997852,-0.084851,-1.600206,-0.761974,0.148627,0.36621,0.417472,-1.320489,0.854686,-0.800212,0.632858,-0.010639,-1.376387,-0.316198,0.365364,0.612965,-0.140988,1.531779,1.007511,-0.256654,0.750122,1.933793,1.960485,8.65,0
17607,1.212519,-0.323792,-1.691963,-0.017563,-0.902423,-0.342341,-0.081588,-1.705652,-1.615658,0.482067,-0.522719,-2.564744,0.784844,0.27237,-0.713875,-1.31683,0.835808,0.349351,2.382602,0.420189,0.387703,-0.166928,0.816776,0.625085,1.251725,-0.521323,-0.435407,-0.479103,178.79,0
163148,-0.644208,0.588703,-0.446069,0.980191,0.281173,-0.697557,-0.86594,-1.647496,0.290733,-0.354588,-2.372196,-0.535715,-0.901034,1.575678,-1.702779,-1.441351,1.10997,1.356763,-0.744983,-0.632086,0.616235,-2.3271,-1.861194,-0.280733,1.549891,-0.43573,0.100937,1.133789,1287.33,0
23744,-1.756722,0.327995,1.72735,-1.533861,0.863828,-0.328525,-0.061324,-1.052899,-0.334456,1.300045,0.582655,1.732312,1.177412,0.439087,1.743935,0.438993,0.827988,-0.296571,0.066546,-0.697424,0.989584,-1.178304,0.78235,-0.190651,1.171247,0.750869,1.820646,0.730775,5.17,0
118030,0.304717,-1.039984,0.750451,0.940565,-1.951035,-1.30218,0.12784,-0.316243,-0.016801,-0.853044,0.879398,0.777792,0.066031,1.127241,0.467509,-0.859292,0.368751,-0.958883,0.87845,-0.049926,-0.184862,-0.68093,1.222541,-0.154529,-0.428328,-0.352134,0.532309,0.365444,101.4,0
160265,-2.39426,-0.786566,-1.686468,-0.826229,0.247666,-0.179227,-0.253378,-0.159185,0.203388,-1.008536,0.70685,0.662666,0.385038,0.556533,0.296418,2.035073,-0.087094,-0.307083,-0.753528,-1.032263,-1.244472,-0.888797,-0.07068,0.334295,0.051142,-0.765535,0.900185,0.739413,42.97,0
92718,0.478876,-1.535642,0.389692,0.102553,-0.147442,1.588276,-0.622207,2.060298,-0.225431,-1.277016,0.06992,-1.076245,-0.751756,0.397033,0.555582,-0.622168,0.987405,1.157508,1.436302,0.529413,1.363429,-1.880798,-0.317907,-0.867005,0.119226,-0.571449,-0.166158,1.882175,42.33,0
87726,2.010926,0.548983,0.726098,-0.931073,-0.999145,0.036805,0.173007,-1.856312,-0.180307,0.014072,-0.215149,-0.81339,-0.539535,-0.176859,0.0908,0.604792,1.080856,-0.294348,-0.456156,0.437656,0.610845,-0.4342,0.790393,0.979585,1.291686,1.778321,-0.866416,0.013898,55.53,0
47546,-0.30262,-0.48279,0.870556,1.479275,1.79437,1.314808,-0.109734,0.35272,0.766823,0.121178,0.130764,0.823753,-0.059283,-0.729287,-0.414473,0.63391,0.002993,0.34021,0.670079,-0.374841,0.756248,0.378843,-1.234813,1.442305,-0.500745,-1.655095,-1.045044,-1.021045,59.04,0
66599,-0.516926,-3.654956,0.643026,-4.280111,0.588442,1.465356,-0.972838,-1.940533,-0.499225,-8.653796,-0.744354,-1.783385,-1.62657,0.266331,-1.686922,-4.350517,-1.853507,-1.331111,-1.212665,-1.095202,1.098423,-4.215086,-1.060749,1.724824,-5.836529,-1.050883,-2.963446,-2.426776,46.81,1
154856,-1.023497,0.179276,0.219997,1.359188,0.835111,0.356871,1.463303,-1.188763,-0.639752,-0.926576,-0.38981,-1.376686,0.635151,-0.222223,-1.470806,-1.015579,0.313514,0.838127,1.996731,2.913862,0.414409,-0.989538,-2.132046,0.267711,-0.812941,-0.415357,-0.612097,-0.140791,270.15,0
86514,-0.546538,-1.984143,1.235247,0.013356,1.10494,0.276959,0.458559,0.363009,0.697488,2.27743,0.971006,-1.580339,0.446662,1.141481,1.202701,-0.426605,1.164944,0.927742,2.572517,-0.750002,-0.507401,-0.306119,-0.490222,-0.890021,-2.762676,-0.434699,0.369358,-0.493222,995.33,0
7755,1.291029,0.26142,0.826407,0.279242,1.368785,0.055939,0.496121,0.366333,-0.288285,0.404982,2.234386,-0.270397,0.419465,1.257779,1.140253,0.011716,-2.383389,0.516703,-2.219474,1.469937,0.169474,0.999674,-0.902111,-1.552507,0.260754,-0.033603,-0.491541,0.084661,3467.38,0
158706,-0.863345,-0.147529,-0.152523,0.383394,0.999824,-1.058536,-0.125009,1.481456,-0.743588,-0.82225,0.202306,0.844385,0.011426,1.328961,0.856794,0.84182,0.554117,2.327653,-0.205162,-2.003522,1.604254,-0.457699,0.10788,1.309551,-1.60226,-1.251647,-1.601278,-0.794136,105.58,0
107604,-0.232269,0.075713,0.006017,0.448324,1.165308,1.647394,0.30962,0.589547,-1.150865,-0.087877,0.940289,0.865969,0.21161,0.886394,0.490767,1.200306,0.289359,-0.355698,0.335841,-2.930594,0.382886,-3.648413,-1.723463,0.451769,0.477529,-1.162429,-0.712102,1.370541,26.42,0
